original_index,vdc1,vdc2,idc1,idc2,irr,pvt,f_nv
1202413,0.4652,0.5357,0.106,0.034,1.4868,11.1745,0
1202414,0.4546,0.5314,0.1052,0.0334,1.2796,11.1745,0
1202415,0.4681,0.5367,0.1048,0.0325,1.2664,11.1735,0
1202416,0.4613,0.5359,0.1077,0.0341,0.9899,11.1754,0
1202417,0.4713,0.5332,0.1038,0.0377,1.0307,11.1754,0
1202418,0.4533,0.5232,0.1055,0.034,1.1258,11.1757,0
1202419,0.4625,0.5413,0.1081,0.0337,1.0384,11.1757,0
1202420,0.4615,0.5384,0.1086,0.0326,0.988,11.1759,0
1202421,0.4648,0.5425,0.1057,0.0347,1.1594,11.1679,0
1202422,0.4585,0.5389,0.1083,0.0342,1.2166,11.1679,0
1202423,0.4585,0.5298,0.1134,0.0341,1.2266,11.1735,0
1202424,0.4687,0.5334,0.1127,0.0344,1.1661,11.1735,0
1202425,0.4751,0.5452,0.1085,0.0345,1.2983,11.1725,0
1202426,0.4739,0.5528,0.1069,0.0338,1.3775,11.167,0
1202427,0.4605,0.538,0.1099,0.0343,1.3236,11.167,0
1202428,0.4694,0.539,0.1075,0.0344,1.2341,11.1727,0
1202429,0.472,0.5457,0.107,0.0324,1.2115,11.1696,0
1202430,0.4661,0.5426,0.1036,0.0345,1.2636,11.1696,0
1202431,0.4683,0.5416,0.1136,0.0334,1.2083,11.1651,0
1202432,0.46,0.5331,0.1104,0.0348,1.2167,11.1651,0
1202433,0.461,0.5401,0.1068,0.037,1.1113,11.1578,0
1202434,0.4719,0.5477,0.1045,0.0367,1.236,11.1516,0
1202435,0.4644,0.5333,0.113,0.0359,1.1875,11.1516,0
1202436,0.4615,0.536,0.1123,0.0349,1.2588,11.1463,0
1202437,0.465,0.5386,0.1121,0.0361,1.2078,11.1447,0
1202438,0.4736,0.5375,0.1076,0.0362,1.428,11.1447,0
1202439,0.4658,0.5362,0.1131,0.0355,1.448,11.1494,0
1202440,0.4608,0.5373,0.1139,0.0357,1.4627,11.1494,0
1202441,0.4697,0.5327,0.1111,0.0357,1.5005,11.1524,0
1202442,0.47,0.5466,0.1073,0.0335,1.4641,11.1548,0
1202443,0.4589,0.5272,0.1128,0.0348,1.6918,11.1548,0
1202444,0.4625,0.5306,0.1115,0.0338,1.7238,11.1523,0
1202445,0.4639,0.5361,0.1069,0.0357,1.5659,11.1509,0
1202446,0.4595,0.5338,0.1074,0.0371,1.3935,11.1509,0
1202447,0.4638,0.5416,0.109,0.0366,1.1832,11.153,0
1202448,0.464,0.5351,0.1099,0.035,1.2111,11.153,0
1202449,0.4733,0.5431,0.104,0.0335,1.2297,11.1539,0
1202450,0.4653,0.5354,0.1073,0.0353,1.1985,11.1516,0
1202451,0.4749,0.549,0.1084,0.0355,1.2395,11.1516,0
1202452,0.4602,0.5388,0.1124,0.036,1.2823,11.1567,0
1202453,0.4722,0.542,0.101,0.0347,1.3097,11.1567,0
1202454,0.4758,0.5446,0.1071,0.033,1.2249,11.158,0
1202455,0.4651,0.5361,0.1161,0.0362,1.2479,11.1564,0
1202456,0.4656,0.5366,0.108,0.0331,1.3768,11.1564,0
1202457,0.4592,0.5386,0.1082,0.0347,1.357,11.1553,0
1202458,0.4678,0.5382,0.1081,0.0342,1.3976,11.1501,0
1202459,0.4766,0.5517,0.1101,0.033,1.4448,11.1501,0
1202460,0.4672,0.5358,0.1112,0.0327,1.4009,11.1482,0
1202461,0.4753,0.5424,0.1044,0.0351,1.3316,11.1482,0
1202462,0.4613,0.5432,0.1055,0.0351,1.151,11.1442,0
1202463,0.4622,0.5416,0.1105,0.0353,1.1605,11.1437,0
1202464,0.4734,0.5437,0.1078,0.035,1.3462,11.1437,0
1202465,0.4659,0.5441,0.103,0.0361,1.1507,11.1423,0
1202466,0.4674,0.5424,0.1081,0.0365,1.1883,11.1393,0
1202467,0.461,0.5317,0.1094,0.0344,1.3971,11.1393,0
1202468,0.4616,0.5403,0.1099,0.0351,1.292,11.1365,0
1202469,0.4566,0.5383,0.1064,0.036,1.2567,11.1365,0
1202470,0.4703,0.5487,0.1106,0.0331,1.4136,11.1387,0
1202471,0.4601,0.543,0.1146,0.0355,1.5261,11.1411,0
1202472,0.4603,0.541,0.1093,0.0336,1.2421,11.1411,0
1202473,0.4585,0.53,0.1032,0.0364,1.2381,11.145,0
1202474,0.4789,0.5474,0.1081,0.0349,1.2119,11.1461,0
1202475,0.4607,0.5388,0.1108,0.0369,1.2246,11.1461,0
